id,name,description,price,category,clinic_id
1,Khám chuyên khoa Nội tổng quát,Khám tư vấn sức khỏe chuyên khoa Nội tổng quát,200000,Nội tổng quát,1
2,Khám chuyên khoa Nhi khoa,Khám tư vấn sức khỏe chuyên khoa Nhi khoa,250000,Nhi khoa,1
3,Khám chuyên khoa Sản phụ khoa,Khám tư vấn sức khỏe chuyên khoa Sản phụ khoa,300000,Sản phụ khoa,1
4,Khám chuyên khoa Tai Mũi Họng,Khám tư vấn sức khỏe chuyên khoa Tai Mũi Họng,250000,Tai Mũi Họng,1
5,Khám chuyên khoa Mắt,Khám tư vấn sức khỏe chuyên khoa Mắt,150000,Mắt,1
6,Khám chuyên khoa Răng Hàm Mặt,Khám tư vấn sức khỏe chuyên khoa Răng Hàm Mặt,500000,Răng Hàm Mặt,1
7,Khám chuyên khoa Da liễu,Khám tư vấn sức khỏe chuyên khoa Da liễu,400000,Da liễu,1
8,Khám chuyên khoa Tim mạch,Khám tư vấn sức khỏe chuyên khoa Tim mạch,500000,Tim mạch,1
9,Khám chuyên khoa Tiêu hóa - Gan mật,Khám tư vấn sức khỏe chuyên khoa Tiêu hóa - Gan mật,250000,Tiêu hóa - Gan mật,1
10,Khám chuyên khoa Cơ xương khớp,Khám tư vấn sức khỏe chuyên khoa Cơ xương khớp,300000,Cơ xương khớp,1
11,Khám chuyên khoa Nội tiết,Khám tư vấn sức khỏe chuyên khoa Nội tiết,300000,Nội tiết,1
12,Khám chuyên khoa Hô hấp,Khám tư vấn sức khỏe chuyên khoa Hô hấp,200000,Hô hấp,1
13,Khám chuyên khoa Thần kinh,Khám tư vấn sức khỏe chuyên khoa Thần kinh,200000,Thần kinh,1
14,Khám chuyên khoa Thận - Tiết niệu,Khám tư vấn sức khỏe chuyên khoa Thận - Tiết niệu,250000,Thận - Tiết niệu,1
15,Khám chuyên khoa Ngoại tổng quát,Khám tư vấn sức khỏe chuyên khoa Ngoại tổng quát,500000,Ngoại tổng quát,1
16,Khám chuyên khoa Ngoại chấn thương chỉnh hình,Khám tư vấn sức khỏe chuyên khoa Ngoại chấn thương chỉnh hình,500000,Ngoại chấn thương chỉnh hình,1
17,Khám chuyên khoa Ngoại thần kinh / Cột sống,Khám tư vấn sức khỏe chuyên khoa Ngoại thần kinh / Cột sống,200000,Ngoại thần kinh / Cột sống,1
18,Khám chuyên khoa Y học cổ truyền,Khám tư vấn sức khỏe chuyên khoa Y học cổ truyền,200000,Y học cổ truyền,1
19,Khám chuyên khoa Phục hồi chức năng,Khám tư vấn sức khỏe chuyên khoa Phục hồi chức năng,250000,Phục hồi chức năng,1
20,Khám chuyên khoa Ung bướu / Tầm soát ung thư,Khám tư vấn sức khỏe chuyên khoa Ung bướu / Tầm soát ung thư,400000,Ung bướu / Tầm soát ung thư,1
21,Khám chuyên khoa Sức khỏe tâm thần,Khám tư vấn sức khỏe chuyên khoa Sức khỏe tâm thần,150000,Sức khỏe tâm thần,1
22,Khám chuyên khoa Dinh dưỡng,Khám tư vấn sức khỏe chuyên khoa Dinh dưỡng,200000,Dinh dưỡng,1
23,Khám chuyên khoa Nội tổng quát,Khám tư vấn sức khỏe chuyên khoa Nội tổng quát,150000,Nội tổng quát,2
24,Khám chuyên khoa Nhi khoa,Khám tư vấn sức khỏe chuyên khoa Nhi khoa,500000,Nhi khoa,2
25,Khám chuyên khoa Sản phụ khoa,Khám tư vấn sức khỏe chuyên khoa Sản phụ khoa,200000,Sản phụ khoa,2
26,Khám chuyên khoa Tai Mũi Họng,Khám tư vấn sức khỏe chuyên khoa Tai Mũi Họng,500000,Tai Mũi Họng,2
27,Khám chuyên khoa Mắt,Khám tư vấn sức khỏe chuyên khoa Mắt,200000,Mắt,2
28,Khám chuyên khoa Răng Hàm Mặt,Khám tư vấn sức khỏe chuyên khoa Răng Hàm Mặt,150000,Răng Hàm Mặt,2
29,Khám chuyên khoa Da liễu,Khám tư vấn sức khỏe chuyên khoa Da liễu,300000,Da liễu,2
30,Khám chuyên khoa Tim mạch,Khám tư vấn sức khỏe chuyên khoa Tim mạch,150000,Tim mạch,2
31,Khám chuyên khoa Tiêu hóa - Gan mật,Khám tư vấn sức khỏe chuyên khoa Tiêu hóa - Gan mật,200000,Tiêu hóa - Gan mật,2
32,Khám chuyên khoa Cơ xương khớp,Khám tư vấn sức khỏe chuyên khoa Cơ xương khớp,250000,Cơ xương khớp,2
33,Khám chuyên khoa Nội tiết,Khám tư vấn sức khỏe chuyên khoa Nội tiết,250000,Nội tiết,2
34,Khám chuyên khoa Hô hấp,Khám tư vấn sức khỏe chuyên khoa Hô hấp,400000,Hô hấp,2
35,Khám chuyên khoa Thần kinh,Khám tư vấn sức khỏe chuyên khoa Thần kinh,250000,Thần kinh,2
36,Khám chuyên khoa Thận - Tiết niệu,Khám tư vấn sức khỏe chuyên khoa Thận - Tiết niệu,400000,Thận - Tiết niệu,2
37,Khám chuyên khoa Ngoại tổng quát,Khám tư vấn sức khỏe chuyên khoa Ngoại tổng quát,250000,Ngoại tổng quát,2
38,Khám chuyên khoa Ngoại chấn thương chỉnh hình,Khám tư vấn sức khỏe chuyên khoa Ngoại chấn thương chỉnh hình,150000,Ngoại chấn thương chỉnh hình,2
39,Khám chuyên khoa Ngoại thần kinh / Cột sống,Khám tư vấn sức khỏe chuyên khoa Ngoại thần kinh / Cột sống,500000,Ngoại thần kinh / Cột sống,2
40,Khám chuyên khoa Y học cổ truyền,Khám tư vấn sức khỏe chuyên khoa Y học cổ truyền,400000,Y học cổ truyền,2
41,Khám chuyên khoa Phục hồi chức năng,Khám tư vấn sức khỏe chuyên khoa Phục hồi chức năng,250000,Phục hồi chức năng,2
42,Khám chuyên khoa Ung bướu / Tầm soát ung thư,Khám tư vấn sức khỏe chuyên khoa Ung bướu / Tầm soát ung thư,200000,Ung bướu / Tầm soát ung thư,2
43,Khám chuyên khoa Sức khỏe tâm thần,Khám tư vấn sức khỏe chuyên khoa Sức khỏe tâm thần,200000,Sức khỏe tâm thần,2
